trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.9975}",20,0,-138.84066850175577,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
2,False,"{'a': 0.8, 'e': 0.9950000000000001}",30,0,-241.92984118976528,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 5}",0
3,False,"{'a': 0.8, 'e': 0.9925000000000002}",25,0,-77.35878491959527,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.8, 'e': 0.9900000000000002}",20,0,-149.35838204753833,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
5,False,"{'a': 0.8, 'e': 0.9875000000000003}",20,15,3.3131432256557813,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
6,False,"{'a': 0.8, 'e': 0.9850000000000003}",20,0,-95.23348266350241,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.9825000000000004}",25,0,-93.75185284526373,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.9800000000000004}",25,0,-24.347534897517292,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",1
9,False,"{'a': 0.8, 'e': 0.9775000000000005}",20,0,-27.36424825002426,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
10,False,"{'a': 0.8, 'e': 0.9750000000000005}",20,0,-87.31852078386011,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.9725000000000006}",20,0,-125.80968545968813,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.8, 'e': 0.9700000000000006}",30,0,-187.0594946164539,"{0: 18, 1: 3, 2: 5, 3: 1, 4: 3}",0
13,False,"{'a': 0.8, 'e': 0.9675000000000007}",20,0,-126.78406625105984,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
