trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.14063385093785,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-206.81627437199825,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-210.0914032722183,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 5}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-269.78215201874247,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 5}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-123.14825803686388,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-64.13516229206661,"{0: 16, 1: 3, 2: 6, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.85670502435329,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,18,1.1922495175965802,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-177.18976611961594,"{0: 12, 1: 4, 2: 5, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-176.55034694510888,"{0: 12, 1: 2, 2: 8, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-207.24039633422888,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,9,-92.33979108751615,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-109.93284379265657,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.09294284792023,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-90.2645614340412,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.90748758816554,"{0: 9, 1: 6, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-154.52798133847173,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-96.26894980328407,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.38967413553353,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,7,-42.82943091590121,"{0: 6, 1: 3, 2: 4, 3: 0, 4: 0}",1
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-84.08208084567323,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-97.5588248269658,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",1
3,True,"{'a': 0.5, 'e': 1.0}",30,15,-79.4027782347786,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 1}",1
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-86.29781786789509,"{0: 9, 1: 9, 2: 1, 3: 0, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-105.11287663025661,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-73.73357774392763,"{0: 20, 1: 1, 2: 9, 3: 0, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-124.7162360030179,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-37.676867093206084,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-21.47568328061502,"{0: 19, 1: 5, 2: 1, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-115.47509404758885,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
